1	20	0
2	50	20
3	50	70
4	50	120
5	80	170
6	120	250
7	125	370
8	130	495
9	145	625
10	200	770
11	220	970
12	280	1,190
13	300	1,470
14	350	1,770
15	450	2,120
16	550	2,570
17	650	3,120
18	800	3,770
19	1,200	4,570
20	1,400	5,770
21	1,600	7,170
22	2,000	8,770
23	2,300	10,770
24	2,700	13,070
25	3,000	15,770
26	4,000	18,770
27	4,600	22,770
28	5,400	27,370
29	6,000	32,770
30	7,000	38,770
31	8,000	45,770
32	9,000	53,770
33	11,000	62,770
34	12,500	73,770
35	12,500	86,270
36	12,500	98,770
37	12,500	111,270
38	15,000	123,770
39	18,000	138,770
40	22,000	156,770
41	25,000	178,770
42	25,000	203,770
43	25,000	228,770
44	25,000	253,770
45	25,000	278,770
46	25,000	303,770
47	25,000	328,770
48	25,000	353,770
49	25,000	378,770
50	25,000	403,770
51	40,000	428,770
52	55,000	468,770
53	70,000	523,770
54	85,000	593,770
55	100,000	678,770
56	115,000	778,770
57	130,000	893,770
58	145,000	1,023,770
59	160,000	1,168,770
60	180,000	1,328,770
61	200,000	1,508,770
62	220,000	1,708,770
63	240,000	1,928,770
64	260,000	2,168,770
65	280,000	2,428,770
66	300,000	2,708,770
67	320,000	3,008,770
68	340,000	3,328,770
69	360,000	3,668,770
70	390,000	4,028,770
71	420,000	4,418,770
72	450,000	4,838,770
73	550,000	5,288,770
74	600,000	5,838,770
75	700,000	6,438,770
76	800,000	7,138,770
77	900,000	7,938,770
78	1,000,000	8,838,770
79	1,100,000	9,838,770
80	1,200,000	10,938,770
81	1,300,000	12,138,770
82	1,400,000	13,438,770
83	1,500,000	14,838,770
84	1,600,000	16,338,770
85	1,700,000	17,938,770
86	1,800,000	19,638,770
87	1,900,000	21,438,770
88	2,000,000	23,338,770
89	2,100,000	25,338,770
90	N/A	27,438,770
